index;label;degree_in;degree_out;degree_total;weight;compound_type;domain
3418;pi[e];0;1;1;97.97689521;ion;all
2107;but2eACP;1;2;3;101.0061108;metabolite;all
2011;2obut;1;2;3;102.0316941;metabolite;all
2025;acac;1;1;2;102.0316941;metabolite;all
2224;sucsal;1;2;3;102.0316941;metabolite;all
2762;acac[p];1;1;2;102.0316941;metabolite;all
2763;acac[e];0;1;1;102.0316941;metabolite;all
2995;betald;0;2;2;102.0913404;metabolite;all
2872;15dap;1;1;2;102.1156984;metabolite;all
2874;15dap[p];2;0;2;102.1156984;metabolite;all
2952;15dap[e];0;1;1;102.1156984;metabolite;all
2551;2amsa;2;0;2;103.026943;metabolite;all
2159;4abut;4;2;6;103.0633285;metabolite;all
2760;4abut[p];2;1;3;103.0633285;metabolite;all
2761;4abut[e];0;1;1;103.0633285;metabolite;all
1943;3haACP;1;1;2;103.9932004;metabolite;all
2006;2h3oppan;3;1;4;104.0109586;metabolite;all
2170;hpyr;0;3;3;104.0109586;metabolite;all
1965;23dappa;1;1;2;104.0585775;metabolite;all
2714;23dappa[p];1;1;2;104.0585775;metabolite;all
2715;23dappa[e];0;1;1;104.0585775;metabolite;all
2538;chol;4;0;4;104.1069905;metabolite;all
2886;chol[p];1;2;3;104.1069905;metabolite;all
2887;chol[e];0;1;1;104.1069905;metabolite;all
2279;ser-L;7;16;23;105.0425931;metabolite;all
2550;ser-D;1;2;3;105.0425931;metabolite;all
3001;ser-D[p];1;1;2;105.0425931;metabolite;all
3002;ser-D[e];0;1;1;105.0425931;metabolite;all
3453;ser-L[p];1;2;3;105.0425931;metabolite;all
3454;ser-L[e];0;1;1;105.0425931;metabolite;all
2007;glyc-R;5;2;7;106.0266087;metabolite;all
3170;glyc-R[p];1;1;2;106.0266087;metabolite;all
3171;glyc-R[e];0;1;1;106.0266087;metabolite;all
2811;ag;0;1;1;106.905097;metabolite;all
2813;ag[e];1;0;1;106.905097;metabolite;all
2065;hqn;1;0;1;110.0367794;metabolite;all
2126;csn;3;1;4;111.0432618;metabolite;all
2924;csn[p];1;1;2;111.0432618;metabolite;all
2925;csn[e];0;1;1;111.0432618;metabolite;all
2188;ura;6;1;7;112.0272774;metabolite;all
3539;ura[p];1;2;3;112.0272774;metabolite;all
3540;ura[e];0;1;1;112.0272774;metabolite;all
2398;tsul;1;2;3;112.9372595;metabolite;all
3507;tsul[p];1;1;2;112.9372595;metabolite;all
3508;tsul[e];0;1;1;112.9372595;metabolite;all
2220;1pyr5c;2;2;4;113.0476785;metabolite;all
2879;cd2;1;2;3;113.9033585;ion;all
2880;cd2[p];3;1;4;113.9033585;ion;all
2881;cd2[e];0;1;1;113.9033585;ion;all
2221;pro-L;5;2;7;115.0633285;metabolite;all
3429;pro-L[p];1;3;4;115.0633285;metabolite;all
3432;pro-L[e];0;1;1;115.0633285;metabolite;all
1962;fum;9;5;14;116.0109586;metabolite;all
3097;fum[p];1;3;4;116.0109586;metabolite;all
3098;fum[e];0;1;1;116.0109586;metabolite;all
1916;3mob;2;3;5;116.0473441;metabolite;all
2031;hxa;2;1;3;116.0837296;metabolite;all
2676;hxa[p];1;2;3;116.0837296;metabolite;all
3231;hxa[e];0;1;1;116.0837296;metabolite;all
1942;actACP;2;1;3;117.0010254;metabolite;all
2546;2aobut;3;1;4;117.0425931;metabolite;all
2889;aspsa;1;2;3;117.0425931;metabolite;all
2975;indole;3;2;5;117.0578492;metabolite;all
3240;indole[p];2;1;3;117.0578492;metabolite;all
3241;indole[e];0;1;1;117.0578492;metabolite;all
1919;val-L;3;2;5;117.0789786;metabolite;all
2996;glyb;4;0;4;117.0789786;metabolite;all
3164;glyb[p];1;2;3;117.0789786;metabolite;all
3165;glyb[e];0;1;1;117.0789786;metabolite;all
3545;val-L[p];1;2;3;117.0789786;metabolite;all
3546;val-L[e];0;1;1;117.0789786;metabolite;all
2052;succ;15;7;22;118.0266087;metabolite;all
2891;succ[p];5;2;7;118.0266087;metabolite;all
3471;succ[e];0;1;1;118.0266087;metabolite;all
2549;thr-L;5;5;10;119.0582431;metabolite;all
2577;hom-L;0;4;4;119.0582431;metabolite;all
2895;athr-L;0;2;2;119.0582431;metabolite;all
3227;hom-L[p];2;0;2;119.0582431;metabolite;all
3228;hom-L[e];0;1;1;119.0582431;metabolite;all
3492;thr-L[p];2;3;5;119.0582431;metabolite;all
3495;thr-L[e];0;1;1;119.0582431;metabolite;all
2424;mercppyr;0;1;1;119.988115;metabolite;all
2183;pacald;2;1;3;120.0575149;metabolite;all
3388;pacald[p];1;1;2;120.0575149;metabolite;all
3389;pacald[e];0;1;1;120.0575149;metabolite;all
2318;cys-L;3;8;11;121.0197495;metabolite;all
2425;cys-D;1;1;2;121.0197495;metabolite;all
2938;cys-L[p];3;1;4;121.0197495;metabolite;all
2939;cys-D[p];1;1;2;121.0197495;metabolite;all
2940;cys-D[e];0;1;1;121.0197495;metabolite;all
2941;cys-L[e];0;1;1;121.0197495;metabolite;all
3328;peamn;0;1;1;121.0891494;metabolite;all
3397;peamn[e];0;1;1;121.0891494;metabolite;all
3398;peamn[p];1;0;1;121.0891494;metabolite;all
2413;ncam;3;1;4;122.0480128;metabolite;all
2852;aso3;1;1;2;122.9079861;metabolite;all
2853;aso3[p];2;0;2;122.9079861;metabolite;all
2854;aso3[e];0;1;1;122.9079861;metabolite;all
